ubigeo,departamento,dom_Geo,provincia,distrito,total_electoral,total_ausentismo,porc_Ausentismo,ord_Ausentismo,dic_Ausentismo,porc_hogares_sin_medios,IDH,alfabetismo,partidoGanador,porc_2_NBI,GINI
040114,Arequipa,Sur,Arequipa,Polobaya,964.0,76.0,7.883817,0.0,0.0,88.14,0.6131227,92.805756,GANA PERU,15.58,0.28
040115,Arequipa,Sur,Arequipa,Quequeña,1102.0,96.0,8.711433,0.0,0.0,84.75,0.6256518,96.75053,GANA PERU,17.6,0.27
040116,Arequipa,Sur,Arequipa,Sabandía,2957.0,324.0,10.957051,0.0,0.0,42.25,0.64031667,94.744576,GANA PERU,9.46,0.35
040117,Arequipa,Sur,Arequipa,Sachaca,18726.0,1790.0,9.558902,0.0,0.0,37.74,0.6545975,95.80645,GANA PERU,7.62,0.38
040118,Arequipa,Sur,Arequipa,San Juan de Siguas,826.0,94.0,11.380145,0.0,0.0,58.06,0.62336046,94.28892,GANA PERU,27.3,0.31
040119,Arequipa,Sur,Arequipa,San Juan de Tarucani,1223.0,148.0,12.10139,1.0,0.0,99.23,0.59597915,90.46135,GANA PERU,25.16,0.28
040120,Arequipa,Sur,Arequipa,Santa Isabel de Siguas,633.0,70.0,11.058452,0.0,0.0,81.47,0.623316,93.52142,GANA PERU,41.63,0.31
040121,Arequipa,Sur,Arequipa,Santa Rita de Siguas,3138.0,222.0,7.0745697,0.0,0.0,61.15,0.61272156,93.41398,GANA PERU,5.85,0.32
040122,Arequipa,Sur,Arequipa,Socabaya,42030.0,4432.0,10.544848,0.0,0.0,32.01,0.6561479,97.06529,GANA PERU,2.25,0.33
040123,Arequipa,Sur,Arequipa,Tiabaya,11410.0,1124.0,9.851007,0.0,0.0,46.0,0.6305006,93.0339,GANA PERU,7.61,0.34
040124,Arequipa,Sur,Arequipa,Uchumayo,8883.0,904.0,10.176743,0.0,0.0,33.62,0.65434635,96.49865,GANA PERU,6.07,0.31
040125,Arequipa,Sur,Arequipa,Vitor,2141.0,229.0,10.695936,0.0,0.0,53.76,0.6148825,92.07921,GANA PERU,16.43,0.29
040126,Arequipa,Sur,Arequipa,Yanahuara,23520.0,2997.0,12.742347,1.0,0.0,7.44,0.7201535,99.43552,ALIANZA POR EL GRAN CAMBIO,0.56,0.32
040127,Arequipa,Sur,Arequipa,Yarabamba,1191.0,133.0,11.167087,0.0,0.0,62.46,0.6357335,95.79728,GANA PERU,13.21,0.29
040128,Arequipa,Sur,Arequipa,Yura,11794.0,1228.0,10.412074,0.0,0.0,53.77,0.62579995,94.13064,GANA PERU,7.51,0.3
040129,Arequipa,Sur,Arequipa,Jose Luis Bustamante y Rivero,55965.0,6239.0,11.148039,0.0,0.0,17.27,0.6884079,98.4127,ALIANZA POR EL GRAN CAMBIO,0.79,0.34
040201,Arequipa,Sur,Camaná,Camaná,13163.0,1894.0,14.388817,1.0,0.0,31.09,0.6626887,97.124954,GANA PERU,6.35,0.33
040202,Arequipa,Sur,Camaná,José María Quimper,3148.0,409.0,12.992376,1.0,0.0,38.54,0.6489176,95.73018,GANA PERU,10.11,0.31
040203,Arequipa,Sur,Camaná,Mariano Nicolás Valcárcel,705.0,113.0,16.028368,1.0,0.0,94.9,0.6081571,98.51764,GANA PERU,70.81,0.28
040204,Arequipa,Sur,Camaná,Mariscal Cáceres,3598.0,421.0,11.700945,0.0,0.0,58.56,0.6289916,92.27799,GANA PERU,20.99,0.31
040205,Arequipa,Sur,Camaná,Nicolás de Piérola,4606.0,634.0,13.764655,1.0,0.0,48.1,0.64824814,95.35424,GANA PERU,10.18,0.31
040206,Arequipa,Sur,Camaná,Ocoña,3046.0,440.0,14.445174,1.0,0.0,53.89,0.6488481,95.926926,GANA PERU,16.4,0.3
040207,Arequipa,Sur,Camaná,Quilca,560.0,61.0,10.892858,0.0,0.0,62.94,0.6392432,94.58128,FUERZA 2011,32.52,0.27
040208,Arequipa,Sur,Camaná,Samuel Pastor,9529.0,1216.0,12.761045,1.0,0.0,43.84,0.6397496,94.856125,GANA PERU,14.41,0.31
040301,Arequipa,Sur,Caravelí,Caravelí,2265.0,558.0,24.635761,3.0,1.0,40.3,0.64991647,95.24564,FUERZA 2011,6.4,0.33
040302,Arequipa,Sur,Caravelí,Acari,3304.0,589.0,17.826876,1.0,0.0,69.51,0.64648247,94.76944,FUERZA 2011,8.95,0.31
040303,Arequipa,Sur,Caravelí,Atico,2554.0,375.0,14.682851,1.0,0.0,46.67,0.65170026,97.33903,FUERZA 2011,13.31,0.29
